"cluster","parks_occupied","max_fract_per_park"
1,11,0.32
2,7,0.76
3,7,0.41
4,11,0.52
5,7,0.57
6,12,0.3
7,6,0.37
8,10,0.28
9,14,0.23
10,5,0.82
11,11,0.76
12,8,0.56
13,8,0.95
14,11,0.42
15,4,0.78
16,10,0.7
17,9,0.58
18,13,0.54
19,4,0.71
20,3,0.67
